City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ponta Do Sol,PT,75.7,overcast clouds,32.6667,-17.1,Hotel do Campo
7,Pangai,TO,75.31,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
9,Hithadhoo,MV,82.74,moderate rain,-0.6,73.0833,Scoop Guest House
12,Coruripe,BR,83.23,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
21,Mayumba,GA,76.77,light rain,-3.432,10.6554,LIKWALE LODGE
25,Butaritari,KI,81.57,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
27,Touros,BR,84.85,clear sky,-5.1989,-35.4608,INN NEW HORIZON
30,Micheweni,TZ,76.19,broken clouds,-4.9667,39.8333,
31,Cartagena,CO,80.22,light intensity drizzle,10.3997,-75.5144,Hotel Colombia Real - Cartagena
33,Coromandel,BR,86.43,few clouds,-18.4733,-47.2003,Hotel Dona Adélia
38,Hilo,US,81.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
40,Bani,DO,85.86,few clouds,18.2833,-70.3333,Hospedaje Henriquez
47,Ouango,CF,78.15,broken clouds,4.3133,22.5552,
49,Bandarbeyla,SO,77.49,broken clouds,9.4942,50.8122,JABIR HOTEL
54,Kahului,US,78.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
55,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
59,Sao Filipe,CV,80.35,broken clouds,14.8961,-24.4956,Hotel Xaguate
62,Kuchera,IN,83.16,clear sky,26.9839,73.9719,Surendra Java
82,Kodinar,IN,79.57,scattered clouds,20.7903,70.7031,residency of N.B vadhel
85,Cururupu,BR,87.28,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
93,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
96,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
99,Gwadar,PK,79.88,clear sky,25.1216,62.3254,Sadaf Resort
100,San Patricio,US,87.66,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
101,Kilindoni,TZ,76.46,scattered clouds,-7.9139,39.6668,Bustani B&B
102,Veraval,IN,80.92,scattered clouds,20.9,70.3667,Lords Inn Somnath
105,Nsanje,MW,87.93,clear sky,-16.92,35.262,Nsanje Discovery Lodge
106,Panama City,PA,89.44,overcast clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
108,Ahuimanu,US,77.16,broken clouds,21.4447,-157.8378,Paradise Bay Resort
109,Port Blair,IN,80.35,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
112,Atuona,PF,77.5,broken clouds,-9.8,-139.0333,Villa Enata
120,Russell,US,78.96,clear sky,32.3502,-85.1999,Macs
122,Castro,BR,77.45,few clouds,-24.7911,-50.0119,CHACARA BAILLY
128,Panaba,MX,88.09,clear sky,21.2833,-88.2667,Hotel Don Fernando
130,Auki,SB,77.09,overcast clouds,-8.7676,160.7034,Auki Motel
131,Namatanai,PG,79.09,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
132,Adeje,ES,78.1,overcast clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
138,Isabela,PH,79.83,moderate rain,6.7085,121.9711,Isawad Resort
146,Makakilo City,US,75.97,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
155,Kieta,PG,77.79,light rain,-6.2167,155.6333,Uruna Bay Retreat
161,Ardmore,US,83.86,clear sky,34.1743,-97.1436,"Motel 6 Ardmore, OK"
162,Sorong,ID,79.65,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
163,Progreso,MX,86.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
164,Bull Savanna,JM,84.22,broken clouds,17.8868,-77.5902,Big Red's
170,Sola,VU,79.68,scattered clouds,-13.8833,167.55,Leumerus Bungalows
171,Umm Bab,QA,87.13,clear sky,25.2142,50.8072,
173,Caravelas,BR,82.98,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
175,Victoria,HK,84.38,few clouds,22.2855,114.1577,Mini Central
176,Liku,ID,75.69,overcast clouds,-0.7275,119.8922,Kost annisa
180,Puerto Escondido,MX,86.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
182,Ghanzi,BW,86.14,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
183,Hobyo,SO,77.63,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
189,Sumenep,ID,81.0,overcast clouds,-7.0167,113.8667,Family Nur Hotel
192,Coro,VE,86.43,scattered clouds,11.4045,-69.6734,Federal
196,Muncar,ID,76.64,overcast clouds,-8.4333,114.3333,Zaky Homestay
197,Bara,NG,80.71,broken clouds,10.3744,10.7288,
198,Lufilufi,WS,76.78,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
199,Zhangzhou,CN,78.73,clear sky,24.5133,117.6556,Crowne Plaza Zhangzhou
208,Morondava,MG,77.32,clear sky,-20.2833,44.2833,La Case Bambou
210,Dicabisagan,PH,77.83,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
213,Siavonga,ZM,88.03,clear sky,-16.5382,28.7088,Lavongora Waterfront Lodge
217,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
218,Samarai,PG,80.65,overcast clouds,-10.6167,150.6667,Nuli Sapi
223,Honiara,SB,76.37,overcast clouds,-9.4333,159.95,Heritage Park Hotel
224,Sao Francisco De Assis,BR,80.15,scattered clouds,-29.5503,-55.1311,Hotel Aguiar
225,Avera,US,75.38,clear sky,33.194,-82.5271,
237,San Jose,US,79.5,mist,37.3394,-121.895,The Westin San Jose
238,Houma,US,83.01,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
239,Sawakin,SD,88.27,clear sky,19.1059,37.3321,فندق الدويم
250,Jiazi,CN,79.16,broken clouds,22.8779,116.067,Hotel Jin Hao
251,Kibala,TD,82.35,few clouds,9.1104,18.3463,Prasant Hotels
252,Pilar,BR,84.13,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
255,Haimen,CN,78.69,few clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
264,Alpena,US,75.45,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
265,Bridgetown,BB,88.29,broken clouds,13.1,-59.6167,Hilton Barbados Resort
266,Mogadishu,SO,77.86,few clouds,2.0371,45.3438,Hotel Juba
269,Las Tunas,CU,84.74,overcast clouds,20.9617,-76.9511,Hotel Cadillac
275,Lata,PT,76.91,clear sky,40.1629,-8.3327,Casa Maquia
277,Bengkulu,ID,76.59,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
278,Kailua,US,77.43,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
285,Daru,PG,79.29,light rain,-9.0763,143.2092,Daru Lodge
289,Pandan,PH,79.83,overcast clouds,14.0453,124.1694,Bonifacio Lodge
291,Luganville,VU,77.7,broken clouds,-15.5333,167.1667,The Espiritu Hotel
300,Ende,ID,78.37,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
302,Sinnamary,GF,86.16,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
304,Faanui,PF,77.41,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
305,Chandbali,IN,79.32,broken clouds,20.7833,86.7667,Sabitri Bhavan
306,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,Balandra Hotel
309,Partapur,IN,82.85,overcast clouds,23.6,74.1667,Hotel The Park
310,Kontagora,NG,80.51,light rain,10.3999,5.4695,Queens Guest Inn
313,Semaria,IN,75.09,overcast clouds,24.3073,79.9718,mishra Tea Pan
319,Coahuayana,MX,86.85,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
320,Manapparai,IN,81.46,overcast clouds,10.6,78.4167,VIJAY GUEST HOUSE (LODGE)
321,Petatlan,MX,89.4,few clouds,17.5167,-101.2667,Hotel California Petatlán
325,Saint George,US,78.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
326,Arcelia,MX,80.71,overcast clouds,18.2833,-100.2667,C. GENERAL NAVOR MENDOZA
328,Cockburn Town,TC,83.43,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
330,Pitimbu,BR,81.19,clear sky,-7.4706,-34.8086,Reserva do Abiaí
332,Tucuman,AR,86.0,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
334,Boueni,YT,76.98,scattered clouds,-12.9025,45.0761,The feet in water
338,Wukari,NG,79.86,light rain,7.85,9.7833,Elimtop
339,Miri,MY,77.14,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
343,Ixtapa,MX,84.22,broken clouds,20.7,-105.2,hotel la terminal
344,Tecoanapa,MX,84.67,scattered clouds,16.5167,-98.75,Hotel Manglares
349,Dingle,PH,76.55,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
352,Barcelos,PT,76.91,scattered clouds,41.5388,-8.6151,Hotel Do Terço
355,San Jose De Guanipa,VE,88.95,overcast clouds,8.8872,-64.1651,Hotel Kariña Guanipa
359,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
364,Axim,GH,77.68,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
366,Hamilton,US,76.5,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
370,La Peca,PE,89.94,broken clouds,-5.6111,-78.435,Hospedaje San Miguelito
372,Birao,CF,77.72,light rain,10.2849,22.7882,
373,Natchitoches,US,84.18,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
374,Bolobo,CD,77.76,light rain,-2.1667,16.2333,Hotel de Stephen
379,Pyay,MM,77.13,overcast clouds,18.8167,95.2167,Shwe Pyi Thar
382,Bambanglipuro,ID,76.64,overcast clouds,-7.95,110.2833,Puri Brata
383,Hauterive,FR,75.96,clear sky,46.0901,3.4459,Aletti Palace Hotel
385,Bobo Dioulasso,BF,86.45,few clouds,11.1771,-4.2979,IBA Hotel
388,Tiznit,MA,75.34,broken clouds,29.5833,-9.5,
390,Khairpur Nathan Shah,PK,85.64,clear sky,27.0936,67.7337,Shoukat Hussain Hotal
391,Agua Verde,MX,82.49,overcast clouds,22.9,-106.05,
392,Lorengau,PG,81.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
395,Lucea,JM,86.86,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
400,Ishigaki,JP,78.93,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
401,Dawei,MM,76.17,overcast clouds,14.0833,98.2,Hotel Dawei
404,Shelburne,CA,75.76,few clouds,44.0787,-80.2041,The Retreat at the Farm
405,Sompeta,IN,79.88,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
406,Nirmali,IN,76.91,broken clouds,26.3167,86.5833,Baidyanath Sharma Lodge
407,Mitsamiouli,KM,75.72,scattered clouds,-11.3847,43.2844,Foyer ADM
409,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
413,Marsh Harbour,BS,79.34,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
414,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
415,Anapolis,BR,82.0,moderate rain,-16.3267,-48.9528,Hotel Anápolis
416,Xuddur,SO,76.55,broken clouds,4.1213,43.8894,Banjanay Hotel
419,Hirara,JP,80.67,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
420,Pathanamthitta,IN,78.73,overcast clouds,9.2667,76.7833,Rose Petals
422,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
431,Lingao,CN,77.61,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
433,Villarrica,PY,85.26,few clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
435,Soyo,AO,76.08,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
436,Pendleton,US,80.56,clear sky,45.6721,-118.7886,Americas Best Value Inn Pendleton
437,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
438,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
439,Kavaratti,IN,81.45,overcast clouds,10.5669,72.642,Green leaf
441,Tupelo,US,77.29,clear sky,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
445,Bubaque,GW,82.67,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
452,Ericeira,PT,78.48,clear sky,38.9627,-9.4156,HOTEL PEDRO O PESCADOR
454,Laguna,US,85.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
457,Lukulu,ZM,80.67,few clouds,-14.3707,23.242,Ruth Guest House
459,Bassar,TG,76.15,light rain,9.25,0.7833,Hôtel KYRIAD
460,Sungairaya,ID,76.84,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
461,Vitoria Da Conquista,BR,83.61,broken clouds,-14.8661,-40.8394,Hotel Solar Vitória
462,Biak,ID,75.7,broken clouds,-0.9131,122.8766,Penginapan Kim
463,Batticaloa,LK,80.8,overcast clouds,7.7102,81.6924,Grand Star Guest House
464,Abu Dhabi,AE,89.62,clear sky,24.4667,54.3667,Beach Rotana
465,Guhagar,IN,79.2,broken clouds,17.4842,73.1929,Hotel Seawinds
468,Mawlaik,MM,75.2,broken clouds,23.6333,94.4167,AKZ Guest House
471,Paka,MY,75.13,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
472,Santa Cruz,BO,89.65,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
479,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
480,Sarankhola,BD,78.01,scattered clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
484,Diffa,NE,88.36,broken clouds,13.3154,12.6113,ProDAF/Diffa
488,Kankon,IN,78.6,scattered clouds,15.0167,74.0167,Palolem Beach Resort
492,Bartica,GY,84.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
498,Viesca,MX,75.69,overcast clouds,25.35,-102.8,LA VIEZCA (Parque Magico)
499,Charleston,US,78.03,clear sky,32.7766,-79.9309,"Mills House Charleston, Curio Collection by Hilton"
507,Belmonte,BR,80.76,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
508,Jacqueville,CI,77.56,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
510,Weligama,LK,77.47,overcast clouds,5.9667,80.4167,Weligama Bay Resort
513,San Antonio,US,88.27,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
515,Konch,IN,76.06,overcast clouds,25.9833,79.15,AZAAD GARDEN
517,Uong Bi,VN,80.58,clear sky,21.0333,106.7833,khach san Trung lien
518,Virpur,IN,84.43,overcast clouds,23.1833,73.4833,"Khodiyar temple, Gadheli"
519,Ugoofaaru,MV,81.41,overcast clouds,5.6667,73.0,Ungoofaaru Inn
522,Pochutla,MX,89.42,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
527,Sagaing,MM,78.35,clear sky,21.8787,95.9797,Makara Cruise
536,Mbini,GQ,77.04,moderate rain,1.574,9.6134,Candy Vista Mar Mbini
537,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
542,Kavieng,PG,82.08,broken clouds,-2.5744,150.7967,Nusa Island Retreat
546,Bacolod,PH,79.03,overcast clouds,10.6667,122.95,Planta Hotel & Residences
554,Kingman,US,84.13,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
562,Labuhan,ID,77.22,overcast clouds,-6.8844,112.2051,DoubleFAG
563,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
565,Mohan,IN,76.95,overcast clouds,26.7833,80.6833,Deepu Chauhan Dhaba
567,Temba,ZA,86.02,clear sky,-25.3803,28.2631,Gene's Guesthouse
568,Gogrial,SS,75.9,light rain,8.5332,28.1004,
572,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
577,Kirakira,SB,80.04,broken clouds,-10.4544,161.9205,SanBiz Lodge
583,Manbij,SY,75.92,overcast clouds,36.5281,37.9549,Manbej City Hotel
586,Barberton,ZA,77.09,clear sky,-25.7884,31.0532,Barberton B&B
591,Abilene,US,84.27,clear sky,32.4487,-99.7331,Baymont by Wyndham Abilene
594,Saint Simons,US,85.01,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
600,Narasannapeta,IN,79.5,overcast clouds,18.4167,84.05,AVK events and catering
601,Chavakkad,IN,77.95,overcast clouds,10.5333,76.05,Rajah Island
604,Mapiri,BO,88.07,broken clouds,-15.25,-68.1667,
618,Hambantota,LK,78.96,overcast clouds,6.1241,81.1185,Bungalow 63
621,Mecca,SA,87.04,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
623,Katherine,AU,82.72,scattered clouds,-14.4667,132.2667,Pine Tree Motel
624,Mana,GF,85.5,clear sky,5.6592,-53.7767,LE SAMANA
627,Minador Do Negrao,BR,86.9,scattered clouds,-9.3053,-36.8647,
628,Sibolga,ID,76.14,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
629,Kaura Namoda,NG,82.18,light rain,12.5898,6.5779,Moonlight Hotel
632,Cabatuan,PH,77.05,overcast clouds,10.8794,122.486,MVC Transient Room
635,Bhum,IN,75.2,moderate rain,18.4667,75.6667,धनंजय होम
642,Mabaruma,GY,77.83,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
643,Morgan City,US,82.99,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
644,Vilhena,BR,89.82,scattered clouds,-12.7406,-60.1458,Hotel Mirage
647,Cabra,ES,75.9,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
649,Manuk Mangkaw,PH,82.29,broken clouds,4.8,119.85,
650,Boundiali,CI,76.12,light rain,9.5217,-6.4869,Hotel Paysan Boundiali
654,Waingapu,ID,79.75,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
655,Wanning,CN,79.18,broken clouds,18.8003,110.3967,Paradise Hotel
658,Manggar,ID,80.13,overcast clouds,-2.8833,108.2667,Guest Hotel
661,Jeremie,HT,85.66,broken clouds,18.65,-74.1167,Auberge’Inn
664,Salinopolis,BR,83.86,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
667,Ha Tinh,VN,75.87,scattered clouds,18.3333,105.9,Phú Quý
670,Madingou,CG,80.98,overcast clouds,-4.1536,13.55,HOTEL KIM ELISA
671,Riohacha,CO,87.91,scattered clouds,11.5444,-72.9072,Hotel Taroa
672,Itarema,BR,85.06,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
679,Cortes,ES,81.68,clear sky,41.9395,-1.4396,Rincon de bu
