City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,31.12,69,100,1.36,overcast clouds
1,Ponta Do Sol,PT,32.6667,-17.1,75.7,86,92,1.3,overcast clouds
2,Guayaramerin,BO,-10.8368,-65.3614,93.25,49,40,12.66,scattered clouds
3,Port Alfred,ZA,-33.5906,26.891,63.18,90,100,3.0,overcast clouds
4,Bluff,NZ,-46.6,168.3333,36.81,69,89,23.06,overcast clouds
5,East London,ZA,-33.0153,27.9116,66.6,79,86,9.22,overcast clouds
6,La Ronge,CA,55.1001,-105.2842,37.65,56,40,10.36,scattered clouds
7,Pangai,TO,-19.8,-174.35,75.31,94,75,6.91,broken clouds
8,Bredasdorp,ZA,-34.5322,20.0403,56.14,72,15,7.83,few clouds
9,Hithadhoo,MV,-0.6,73.0833,82.74,74,94,17.4,moderate rain
10,Vaini,TO,-21.2,-175.2,73.56,100,75,2.3,broken clouds
11,Punta Arenas,CL,-53.15,-70.9167,51.91,46,75,12.66,broken clouds
12,Coruripe,BR,-10.1256,-36.1756,83.23,60,82,9.86,broken clouds
13,Ushuaia,AR,-54.8,-68.3,49.66,46,75,9.22,broken clouds
14,Albany,US,42.6001,-73.9662,60.69,85,99,4.52,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,69.49,58,41,21.52,scattered clouds
16,Sakaiminato,JP,35.55,133.2333,64.38,68,75,12.66,broken clouds
17,Mahebourg,MU,-20.4081,57.7,71.89,73,40,9.22,scattered clouds
18,Sitka,US,57.0531,-135.33,64.29,63,100,17.27,overcast clouds
19,Meulaboh,ID,4.1363,96.1285,74.68,93,100,5.68,light rain
20,Anadyr,RU,64.75,177.4833,41.5,93,75,31.32,light rain
21,Mayumba,GA,-3.432,10.6554,76.77,86,88,9.08,light rain
22,Cape Town,ZA,-33.9258,18.4232,62.1,61,20,11.5,few clouds
23,Souillac,MU,-20.5167,57.5167,71.98,73,40,9.22,scattered clouds
24,Busselton,AU,-33.65,115.3333,53.69,54,68,9.62,broken clouds
25,Butaritari,KI,3.0707,172.7902,81.57,71,28,20.65,scattered clouds
26,Komsomolskiy,UZ,40.4272,71.7189,57.92,33,100,6.91,overcast clouds
27,Touros,BR,-5.1989,-35.4608,84.85,60,1,17.67,clear sky
28,Saint Anthony,US,45.0205,-93.218,72.79,66,20,8.05,few clouds
29,Nanortalik,GL,60.1432,-45.2371,37.69,90,88,12.28,light rain
30,Micheweni,TZ,-4.9667,39.8333,76.19,82,57,13.82,broken clouds
31,Cartagena,CO,10.3997,-75.5144,80.22,83,75,9.22,light intensity drizzle
32,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,23,10.87,few clouds
33,Coromandel,BR,-18.4733,-47.2003,86.43,37,19,4.7,few clouds
34,Hay River,CA,60.8156,-115.7999,35.58,64,40,11.5,scattered clouds
35,Longyearbyen,SJ,78.2186,15.6401,39.04,75,20,18.41,few clouds
36,Khatanga,RU,71.9667,102.5,13.01,97,100,4.63,overcast clouds
37,Kapaa,US,22.0752,-159.319,71.92,83,75,6.91,broken clouds
38,Hilo,US,19.7297,-155.09,81.28,89,75,5.75,broken clouds
39,Tasiilaq,GL,65.6145,-37.6368,35.76,65,42,3.27,scattered clouds
40,Bani,DO,18.2833,-70.3333,85.86,61,18,12.06,few clouds
41,New Richmond,US,45.123,-92.5366,71.83,73,0,5.75,clear sky
42,Mitu,CO,1.1983,-70.1733,96.35,40,65,1.01,heavy intensity rain
43,Surab,PK,28.4914,66.2585,66.24,17,0,3.83,clear sky
44,Mareeba,AU,-17.0,145.4333,68.72,91,50,2.86,scattered clouds
45,Matagami,CA,49.7502,-77.6328,59.11,88,75,12.66,broken clouds
46,Paamiut,GL,61.994,-49.6678,37.08,91,100,4.0,light rain
47,Ouango,CF,4.3133,22.5552,78.15,79,80,1.45,broken clouds
48,Scottsbluff,US,41.8666,-103.6672,63.79,56,0,8.05,clear sky
49,Bandarbeyla,SO,9.4942,50.8122,77.49,85,79,18.03,broken clouds
50,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,73,100,12.66,overcast clouds
51,Hearst,CA,49.6835,-83.6665,57.45,93,99,9.19,overcast clouds
52,Provideniya,RU,64.3833,-173.3,39.33,95,100,13.71,light rain
53,East Stroudsburg,US,40.9995,-75.1813,61.5,92,100,4.99,moderate rain
54,Kahului,US,20.8947,-156.47,78.84,79,40,9.22,scattered clouds
55,Georgetown,MY,5.4112,100.3354,78.73,95,40,5.75,scattered clouds
56,Mataura,NZ,-46.1927,168.8643,36.48,82,100,7.54,overcast clouds
57,Rocha,UY,-34.4833,-54.3333,70.41,51,50,14.0,scattered clouds
58,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,100,12.66,fog
59,Sao Filipe,CV,14.8961,-24.4956,80.35,76,62,6.17,broken clouds
60,Lebu,CL,-37.6167,-73.65,55.04,72,26,9.26,scattered clouds
61,Jamestown,US,42.097,-79.2353,68.02,44,0,5.75,clear sky
62,Kuchera,IN,26.9839,73.9719,83.16,30,0,6.29,clear sky
63,Morris,US,40.8334,-74.5329,57.09,90,100,5.01,overcast clouds
64,Novoalekseyevskaya,RU,44.8189,40.9339,54.57,92,87,2.39,overcast clouds
65,Kruisfontein,ZA,-34.0033,24.7314,60.89,79,97,7.29,overcast clouds
66,Putina,PE,-15.4667,-69.4333,50.31,26,96,6.26,overcast clouds
67,Codrington,AU,-38.2667,141.9667,53.56,91,100,16.08,overcast clouds
68,Dmitrov,RU,56.35,37.5167,45.25,93,90,6.58,overcast clouds
69,Kodiak,US,57.79,-152.4072,53.11,82,100,21.85,heavy intensity rain
70,Canyon,US,34.9803,-101.9188,66.04,69,100,2.93,overcast clouds
71,Coquimbo,CL,-29.9533,-71.3436,64.13,59,20,14.97,few clouds
72,Torbat-E Jam,IR,35.244,60.6225,62.2,19,0,13.18,clear sky
73,Barrow,US,71.2906,-156.7887,35.62,93,100,21.85,overcast clouds
74,Hobart,AU,-42.8794,147.3294,49.26,81,100,4.61,overcast clouds
75,Hermanus,ZA,-34.4187,19.2345,58.8,77,1,11.43,clear sky
76,Torbay,CA,47.6666,-52.7314,64.89,49,20,14.97,few clouds
77,Cajamarca,PE,-7.1638,-78.5003,71.67,40,20,8.05,few clouds
78,Qaanaaq,GL,77.484,-69.3632,9.07,73,92,7.49,overcast clouds
79,Hasaki,JP,35.7333,140.8333,57.6,84,100,25.41,overcast clouds
80,Buraydah,SA,26.326,43.975,90.05,14,0,9.62,clear sky
81,Raga,SS,8.4596,25.678,70.63,91,95,2.17,light rain
82,Kodinar,IN,20.7903,70.7031,79.57,76,43,11.36,scattered clouds
83,Qasigiannguit,GL,68.8193,-51.1922,30.45,66,12,4.83,few clouds
84,Merrill,US,45.1805,-89.6835,72.37,54,40,3.44,scattered clouds
85,Cururupu,BR,-1.8283,-44.8683,87.28,57,42,8.12,scattered clouds
86,Finnsnes,NO,69.2296,17.9811,44.76,96,88,5.55,overcast clouds
87,Dudinka,RU,69.4058,86.1778,31.62,94,100,6.85,overcast clouds
88,Thompson,CA,55.7435,-97.8558,30.36,86,75,17.27,broken clouds
89,Joao Camara,BR,-5.5375,-35.8197,92.8,33,3,19.01,clear sky
90,Neuquen,AR,-38.9516,-68.0591,67.89,32,0,4.61,clear sky
91,Yulara,AU,-25.2406,130.9889,68.77,29,0,9.22,clear sky
92,Port Elizabeth,ZA,-33.918,25.5701,63.1,82,20,11.5,few clouds
93,Olinda,BR,-8.0089,-34.8553,82.13,69,75,9.22,broken clouds
94,Bambous Virieux,MU,-20.3428,57.7575,71.85,73,40,9.22,scattered clouds
95,Zyryanka,RU,65.75,150.85,19.38,92,100,29.1,snow
96,Puerto Ayora,EC,-0.7393,-90.3518,75.16,93,78,7.0,broken clouds
97,Winnemucca,US,40.973,-117.7357,64.45,27,0,8.05,clear sky
98,Senador Jose Porfirio,BR,-2.5908,-51.9542,97.38,34,11,0.76,few clouds
99,Gwadar,PK,25.1216,62.3254,79.88,84,0,8.32,clear sky
100,San Patricio,US,28.017,-97.5169,87.66,43,6,5.88,clear sky
101,Kilindoni,TZ,-7.9139,39.6668,76.46,76,27,16.2,scattered clouds
102,Veraval,IN,20.9,70.3667,80.92,77,34,12.77,scattered clouds
103,Ribeira Grande,PT,38.5167,-28.7,72.0,78,75,9.22,broken clouds
104,Yellowknife,CA,62.456,-114.3525,36.12,64,75,15.01,broken clouds
105,Nsanje,MW,-16.92,35.262,87.93,34,0,11.74,clear sky
106,Panama City,PA,8.9936,-79.5197,89.44,65,100,1.99,overcast clouds
107,Olafsvik,IS,64.8945,-23.7142,44.49,66,100,11.23,overcast clouds
108,Ahuimanu,US,21.4447,-157.8378,77.16,85,75,5.75,broken clouds
109,Port Blair,IN,11.6667,92.75,80.35,84,100,13.2,overcast clouds
110,Cartagena Del Chaira,CO,1.3349,-74.8429,96.35,38,42,2.01,scattered clouds
111,Pangnirtung,CA,66.1451,-65.7125,35.6,69,100,0.0,overcast clouds
112,Atuona,PF,-9.8,-139.0333,77.5,65,83,17.98,broken clouds
113,Chuy,UY,-33.6971,-53.4616,67.93,54,36,14.23,scattered clouds
114,Guerrero Negro,MX,27.9769,-114.0611,73.02,70,55,7.25,broken clouds
115,Okhotsk,RU,59.3833,143.3,31.05,55,99,9.89,overcast clouds
116,Sokolo,ML,14.7328,-6.1219,97.39,28,9,11.01,clear sky
117,Chara,RU,56.9064,118.2631,18.05,75,88,4.05,overcast clouds
118,Saskylakh,RU,71.9167,114.0833,5.9,97,95,4.54,overcast clouds
119,High Prairie,CA,55.4334,-116.4858,45.36,68,100,11.68,overcast clouds
120,Russell,US,32.3502,-85.1999,78.96,31,0,8.05,clear sky
121,Waiuku,NZ,-37.25,174.75,51.46,67,86,15.86,overcast clouds
122,Castro,BR,-24.7911,-50.0119,77.45,52,14,5.12,few clouds
123,Isangel,VU,-19.55,169.2667,70.92,75,28,8.12,scattered clouds
124,Kortkeros,RU,61.8106,51.5806,42.8,93,100,6.98,overcast clouds
125,Nakusp,CA,50.2499,-117.8023,57.54,82,4,2.3,light rain
126,Harrisburg,US,40.2737,-76.8844,61.0,78,100,9.22,overcast clouds
127,Tuatapere,NZ,-46.1333,167.6833,36.03,80,100,16.11,overcast clouds
128,Panaba,MX,21.2833,-88.2667,88.09,38,1,4.85,clear sky
129,Alamogordo,US,32.8995,-105.9603,67.21,68,75,6.91,broken clouds
130,Auki,SB,-8.7676,160.7034,77.09,77,99,4.81,overcast clouds
131,Namatanai,PG,-3.6667,152.4333,79.09,83,83,8.81,broken clouds
132,Adeje,ES,28.1227,-16.726,78.1,60,100,24.16,overcast clouds
133,Severo-Kurilsk,RU,50.6789,156.125,43.23,63,52,20.09,broken clouds
134,New Norfolk,AU,-42.7826,147.0587,48.92,69,100,3.0,overcast clouds
135,Klaksvik,FO,62.2266,-6.589,49.12,78,100,30.31,overcast clouds
136,Camopi,GF,3.1655,-52.3158,95.97,31,3,5.48,clear sky
137,Okha,RU,53.5739,142.9478,33.96,70,76,22.26,light snow
138,Isabela,PH,6.7085,121.9711,79.83,81,100,2.24,moderate rain
139,Juegang,CN,32.3174,121.1855,61.92,86,100,13.87,moderate rain
140,Port Lincoln,AU,-34.7333,135.8667,54.61,92,4,7.72,clear sky
141,Geraldton,AU,-28.7667,114.6,54.01,87,75,8.05,broken clouds
142,Yeppoon,AU,-23.1333,150.7333,67.78,77,99,11.86,overcast clouds
143,Alto Araguaia,BR,-17.3147,-53.2153,90.36,35,37,6.89,scattered clouds
144,Nikolskoye,RU,59.7035,30.7861,48.09,93,95,4.61,overcast clouds
145,Koumac,NC,-20.5667,164.2833,69.73,70,39,5.46,scattered clouds
146,Makakilo City,US,21.3469,-158.0858,75.97,80,0,5.75,clear sky
147,Catumbela,AO,-12.4314,13.5472,73.85,79,32,8.23,scattered clouds
148,Te Anau,NZ,-45.4167,167.7167,26.89,93,72,1.92,broken clouds
149,Narsaq,GL,60.9167,-46.05,37.62,95,100,9.64,overcast clouds
150,Ilulissat,GL,69.2167,-51.1,30.22,47,20,2.3,few clouds
151,Norman Wells,CA,65.282,-126.8329,37.44,87,20,3.44,few clouds
152,Beringovskiy,RU,63.05,179.3167,43.95,90,100,28.36,moderate rain
153,Nara,JP,34.6851,135.8049,61.92,75,5,3.87,clear sky
154,Lavrentiya,RU,65.5833,-171.0,37.81,91,100,17.25,overcast clouds
155,Kieta,PG,-6.2167,155.6333,77.79,86,94,5.3,light rain
156,Berbera,SO,10.4396,45.0143,91.31,49,84,6.85,broken clouds
157,Esperance,AU,-33.8667,121.9,54.95,65,93,19.06,overcast clouds
158,Mar Del Plata,AR,-38.0023,-57.5575,66.22,80,75,11.5,broken clouds
159,Kaitangata,NZ,-46.2817,169.8464,35.58,73,99,14.61,overcast clouds
160,Adrar,MR,20.5022,-10.0711,103.75,9,5,14.18,clear sky
161,Ardmore,US,34.1743,-97.1436,83.86,31,0,9.22,clear sky
162,Sorong,ID,-0.8833,131.25,79.65,81,93,3.09,overcast clouds
163,Progreso,MX,21.2833,-89.6667,86.11,56,0,7.85,clear sky
164,Bull Savanna,JM,17.8868,-77.5902,84.22,64,51,6.58,broken clouds
165,Talnakh,RU,69.4865,88.3972,31.21,93,84,5.68,broken clouds
166,Vao,NC,-22.6667,167.4833,69.84,59,51,9.73,broken clouds
167,Luanda,AO,-8.8368,13.2343,74.57,79,97,12.26,overcast clouds
168,Sangar,RU,63.9242,127.4739,22.1,82,63,6.62,broken clouds
169,Yuzawa,JP,39.1667,140.5,49.96,80,85,2.33,overcast clouds
170,Sola,VU,-13.8833,167.55,79.68,79,34,18.97,scattered clouds
171,Umm Bab,QA,25.2142,50.8072,87.13,57,0,9.46,clear sky
172,Las Cruces,US,32.3123,-106.7783,73.6,50,0,3.44,clear sky
173,Caravelas,BR,-17.7125,-39.2481,82.98,58,45,12.35,scattered clouds
174,Ambilobe,MG,-13.2,49.05,72.64,76,5,2.17,clear sky
175,Victoria,HK,22.2855,114.1577,84.38,78,11,10.0,few clouds
176,Liku,ID,-0.7275,119.8922,75.69,92,93,2.89,overcast clouds
177,Bako,ET,5.7833,36.5667,64.08,82,74,3.42,light rain
178,Bruntal,CZ,49.9884,17.4647,55.44,90,100,16.33,overcast clouds
179,Supe,PE,-10.8,-77.7333,64.76,69,17,12.24,few clouds
180,Puerto Escondido,MX,15.85,-97.0667,86.83,58,20,4.61,few clouds
181,Puerto Narino,CO,-3.7703,-70.3831,97.21,37,62,3.13,broken clouds
182,Ghanzi,BW,-21.5667,21.7833,86.14,10,0,9.01,clear sky
183,Hobyo,SO,5.3505,48.5268,77.63,86,17,20.49,few clouds
184,Flinders,AU,-34.5833,150.8552,58.37,92,100,3.0,moderate rain
185,Shingu,JP,33.7333,135.9833,65.44,80,99,3.4,light rain
186,Jizan,SA,17.3333,42.6667,90.54,57,48,8.14,scattered clouds
187,Peru,US,40.7537,-86.0689,74.34,31,71,5.84,broken clouds
188,Sept-Iles,CA,50.2001,-66.3821,57.72,80,75,5.75,broken clouds
189,Sumenep,ID,-7.0167,113.8667,81.0,77,100,5.23,overcast clouds
190,Kidal,ML,18.4411,1.4078,101.82,10,15,13.31,few clouds
191,Upernavik,GL,72.7868,-56.1549,20.28,77,91,5.01,overcast clouds
192,Coro,VE,11.4045,-69.6734,86.43,69,35,13.15,scattered clouds
193,Semey,KZ,50.4111,80.2275,42.22,39,65,3.8,broken clouds
194,San Quintin,MX,30.4833,-115.95,71.15,77,90,5.35,overcast clouds
195,Marystown,CA,47.1666,-55.1483,57.7,63,23,9.44,few clouds
196,Muncar,ID,-8.4333,114.3333,76.64,88,100,5.64,overcast clouds
197,Bara,NG,10.3744,10.7288,80.71,69,51,3.47,broken clouds
198,Lufilufi,WS,-13.8745,-171.5986,76.78,78,68,20.58,broken clouds
199,Zhangzhou,CN,24.5133,117.6556,78.73,83,1,0.29,clear sky
200,Piotrkow Trybunalski,PL,51.4055,19.7032,58.1,10,100,13.53,overcast clouds
201,Pitelino,RU,54.5777,41.8145,48.9,87,100,7.2,overcast clouds
202,Antalaha,MG,-14.9003,50.2788,69.53,87,0,8.77,clear sky
203,Orotukan,RU,62.2667,151.7,14.14,96,100,3.74,light snow
204,Maloy,NO,61.9353,5.1136,51.53,1,100,20.22,overcast clouds
205,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,87,40,4.47,scattered clouds
206,Lithgow,AU,-33.4833,150.15,46.35,99,100,6.73,light rain
207,Luancheng,CN,37.8792,114.6517,48.36,54,66,2.15,broken clouds
208,Morondava,MG,-20.2833,44.2833,77.32,80,0,16.71,clear sky
209,Othaya,KE,-0.5652,36.9609,64.15,62,72,2.68,broken clouds
210,Dicabisagan,PH,17.0818,122.4157,77.83,89,100,3.98,overcast clouds
211,Pangody,RU,65.85,74.4859,31.66,93,47,4.45,scattered clouds
212,Solnechnyy,RU,50.7214,136.6319,31.08,55,1,7.87,clear sky
213,Siavonga,ZM,-16.5382,28.7088,88.03,24,0,9.93,clear sky
214,Avarua,CK,-21.2078,-159.775,73.45,78,20,13.8,few clouds
215,Aksu,CN,41.1231,80.2644,59.13,27,31,5.57,scattered clouds
216,Poum,NC,-20.2333,164.0167,73.04,64,16,14.36,few clouds
217,Bathsheba,BB,13.2167,-59.5167,88.41,70,75,23.02,broken clouds
218,Samarai,PG,-10.6167,150.6667,80.65,83,98,10.8,overcast clouds
219,Constitucion,CL,-35.3333,-72.4167,58.6,66,3,10.92,clear sky
220,Hami,CN,42.8,93.45,53.33,56,25,3.53,scattered clouds
221,Kholodnyy,RU,62.7167,147.95,16.2,94,100,4.09,light snow
222,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,78,40,12.66,scattered clouds
223,Honiara,SB,-9.4333,159.95,76.37,82,99,7.05,overcast clouds
224,Sao Francisco De Assis,BR,-29.5503,-55.1311,80.15,45,40,9.4,scattered clouds
